Source,Target,Collaborations,Weight,Publication Type,Publication Name,Publication Date,Title,Co-authors,Keywords
dpag0074,immd0680,1,0.08333333333333333,Journal article,Nature Communications,01/01/2014,Understanding functional miRNA-target interactions in vivo by site-specific genome engineering.,"Bassett AR,Azzam G,Wheatley L,Tibbit C,Rajakumar T,McGowan S,Stanger N,Ewels PA,Taylor S,Ponting CP,Liu JL,Sauka-Spengler T,Fulga TA","Animals,Zebrafish,Humans,Drosophila,Deoxyribonucleases,Endonucleases,DNA-Binding Proteins,MicroRNAs,Transfection,Genetic Engineering,Sequence Analysis,Base Sequence,Response Elements,Molecular Sequence Data,Transcriptional Activation,HEK293 Cells,Clustered Regularly Interspaced Short Palindromic Repeats"
immd0036,quee1607,1,0.009174311926605505,Journal article,Nature Genetics,18/05/2015,Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.,"Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G","Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing"
immd0024,lina0435,1,0.009174311926605505,Journal article,Nature Genetics,18/05/2015,Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.,"Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G","Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing"
clme0301,clph0059,1,0.07142857142857142,Journal article,Cancer Research,21/08/2012,MEN1 gene replacement therapy reduces proliferation rates in a mouse model of pituitary adenomas.,"Walls GV,Lemos MC,Javid M,Bazan-Peregrino M,Jeyabalan J,Reed AA,Harding B,Tyler DJ,Stuckey DJ,Piret S,Christie PT,Ansorge O,Clarke K,Seymour L,Thakker RV","Adenoma,Adenoviridae,Animals,Cell Proliferation,Disease Models,Animal,Genetic Therapy,Genetic Vectors,HEK293 Cells,Humans,Immunohistochemistry,Magnetic Resonance Imaging,Mice,129 Strain,Inbred C57BL,Knockout,Pituitary Gland,Pituitary Neoplasms,Proto-Oncogene Proteins"
clme0975,raob0072,8,1.4165204678362573,Journal article|Conference paper|Journal article|Journal article|Journal article|Journal article|Journal article|Conference paper,Critical Reviews in Oncology Hematology|British Journal of Surgery|International Journal of Cancer|Nature Communications|International Journal of Cancer|Critical Reviews in Oncology Hematology|Journal of Clinical Oncology|Journal of Clinical Oncology,01/01/2012|01/05/2011|26/08/2013||15/03/2014|04/02/2012|20/01/2014|20/05/2012,"Oxaliplatin as a radiosensitiser for upper and lower gastrointestinal tract malignancies: What have we learned from a decade of translational research?|Tumour expression of the DNA repair protein, XPF, predicts pathological response to neoadjuvant oxaliplatin chemotherapy in oesophageal cancer|XPF protein levels determine sensitivity of malignant melanoma cells to oxaliplatin chemotherapy: suitability as a biomarker for patient selection.|Differential clonal evolution in oesophageal cancers in response to neo-adjuvant chemotherapy.|XPF protein levels determine sensitivity of malignant melanoma cells to oxaliplatin chemotherapy: Suitability as a biomarker for patient selection|Oxaliplatin as a radiosensitiser for upper and lower gastrointestinal tract malignancies: what have we learned from a decade of translational research?|Discovery of prognostic and predictive tissue biomarkers in patients with resectable esophageal cancer|Use of DNA repair proteins translated from biomarker screening to predict overall survival in patients with esophageal cancer treated with oxaliplatin chemotherapy","Hill EJ,Nicolay NH,Middleton MR,Sharma RA|Gillies RS,Delaney D,Warren B,Sharma RA,Middleton MR|Hatch SB,Swift LP,Caporali S,Carter R,Hill EJ,MacGregor TP,D'Atri S,Middleton MR,McHugh PJ,Sharma RA|Findlay JM,Castro-Giner F,Makino S,Rayner E,Kartsonaki C,Cross W,Kovac M,Ulahannan D,Palles C,Gillies RS,MacGregor TP,Church D,Maynard ND,Buffa F,Cazier JB,Graham TA,Wang LM,Sharma RA,Middleton M,Tomlinson I|Hatch SB,Swift LP,Caporali S,Carter R,Hill EJ,Macgregor TP,D'Atri S,Middleton MR,McHugh PJ,Sharma RA|Hill EJ,Nicolay NH,Middleton MR,Sharma RA|MacGregor TP,Gillies RS,Sahgal N,Chetty R,Wang L-M,Turkington RC,Maynard ND,Mchugh PJ,Kennedy RD,Middleton MR,Sharma RA|Sharma RA,Macgregor T,Gillies R,Hatch S,Swift L,Humphrey TIM,Chetty R,McHugh PJ,Middleton MR","||DNA repair,cell cycle,cytotoxic chemotherapy,tissue biomarker,Antineoplastic Agents,Biomarkers,Tumor,Cohort Studies,DNA Damage,DNA-Binding Proteins,Drug Resistance,Neoplasm,Endonucleases,Humans,Immunoenzyme Techniques,Melanoma,Middle Aged,Organoplatinum Compounds,Patient Selection,S Phase,Tissue Array Analysis,Transcription Factors,Tumor Cells,Cultured|||Animals,Antineoplastic Agents,Biomarkers,Tumor,Clinical Trials as Topic,Combined Modality Therapy,Digestive System Neoplasms,Humans,Organoplatinum Compounds,Radiation Tolerance,Radiation-Sensitizing Agents,Translational Medical Research||"
clme0237,immd0082,1,0.009174311926605505,Journal article,Nature Genetics,18/05/2015,Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.,"Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G","Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing"
immd0036,path0084,1,0.009174311926605505,Journal article,Nature Genetics,18/05/2015,Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.,"Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G","Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing"
raob0189,stat0054,1,0.06666666666666667,Journal article,Nature Communications,01/01/2014,Whole-genome sequencing of bladder cancers reveals somatic CDKN1A mutations and clinicopathological associations with mutation burden.,"Cazier JB,Rao SR,McLean CM,Walker AK,Wright BJ,Jaeger EE,Kartsonaki C,Marsden L,Yau C,Camps C,Kaisaki P,Taylor J,Catto JW,Tomlinson IP,Kiltie AE,Hamdy FC","Oxford-Illumina WGS500 Consortium,Humans,Cadherins,Sequence Analysis,DNA,Base Sequence,Mutation,Genome,Molecular Sequence Data,Cyclin-Dependent Kinase Inhibitor p21,Urinary Bladder Neoplasms,Genetic Variation,Neoplasm Grading"
quee1607,quee1607,1,1.0,Conference paper,Advances in Neural Information Processing Systems,,Hamming ball auxiliary sampling for factorial hidden Markov models,"Titsias MK,Yau C",
clar0295,raob0168,1,0.030303030303030304,Journal article,Physical Review Special Topics: Accelerators and Beams,11/03/2013,Conceptual design of a nonscaling fixed field alternating gradient accelerator for protons and carbon ions for charged particle therapy,"Peach KJ,Aslaninejad M,Barlow RJ,Beard CD,Bliss N,Cobb JH,Easton MJ,Edgecock TR,Fenning R,Gardner ISK,Hill MA,Owen HL,Johnstone CJ,Jones B,Jones T,Kelliher DJ,Khan A,Machida S,McIntosh PA,Pattalwar S,Pasternak J,Pozimski J,Prior CR,Rochford J,Rogers CT,Seviour R,Sheehy SL,Smith SL,Strachan J,Tygier S,Vojnovic B,Wilson P,Witte H,Yokoi T",
immd0237,stat0054,3,0.14660121251140082,Journal article|Journal article|Journal article,Haematologica: the hematology journal|Nature Genetics|Nature Genetics,11/07/2014|18/05/2015|23/12/2012,Erythrocytosis associated with a novel missense mutation in the BPGM gene.|Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.|Germline mutations affecting the proofreading domains of POLE and POLD1 predispose to colorectal adenomas and carcinomas.,"Petousi N,Copley RR,Lappin TR,Haggan SE,Bento CM,Cario H,Percy MJ,Ratcliffe PJ,Robbins PA,McMullin MF|Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G|Palles C,Cazier JB,Howarth KM,Domingo E,Jones AM,Broderick P,Kemp Z,Spain SL,Guarino E,Salguero I,Sherborne A,Chubb D,Carvajal-Carmona LG,Ma Y,Kaur K,Dobbins S,Barclay E,Gorman M,Martin L,Kovac MB,Humphray S,CORGI Consortium,WGS500 Consortium,Lucassen A,Holmes CC,Bentley D,Donnelly P,Taylor J,Petridis C,Roylance R,Sawyer EJ,Kerr DJ,Clark S,Grimes J,Kearsey SE,Thomas HJ,McVean G,Houlston RS,Tomlinson I","WGS Consortium,Humans,Polycythemia,Bisphosphoglycerate Mutase,Genotype,Mutation,Missense|Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing|Adenoma,Colorectal Neoplasms,DNA Mismatch Repair,DNA Polymerase II,DNA Polymerase III,DNA Replication,Exodeoxyribonucleases,Genetic Linkage,Genome-Wide Association Study,Germ-Line Mutation,Humans,Microsatellite Repeats,Models,Molecular,Pedigree,Schizosaccharomyces,Sequence Analysis,DNA"
clme0169,ctsu0165,1,0.07142857142857142,Journal article,Trials,30/12/2015,Exploring the role and function of trial steering committees: results of an expert panel meeting.,"Harman NL,Conroy EJ,Lewis SC,Murray G,Norrie J,Sydes MR,Lane JA,Altman DG,Baigent C,Bliss JM,Campbell MK,Elbourne D,Evans S,Sandercock P,Gamble C",
card0027,robbins,1,0.009174311926605505,Journal article,Nature Genetics,18/05/2015,Factors influencing success of clinical genome sequencing across a broad spectrum of disorders.,"Taylor JC,Martin HC,Lise S,Broxholme J,Cazier JB,Rimmer A,Kanapin A,Lunter G,Fiddy S,Allan C,Aricescu AR,Attar M,Babbs C,Becq J,Beeson D,Bento C,Bignell P,Blair E,Buckle VJ,Bull K,Cais O,Cario H,Chapel H,Copley RR,Cornall R,Craft J,Dahan K,Davenport EE,Dendrou C,Devuyst O,Fenwick AL,Flint J,Fugger L,Gilbert RD,Goriely A,Green A,Greger IH,Grocock R,Gruszczyk AV,Hastings R,Hatton E,Higgs D,Hill A,Holmes C,Howard M,Hughes L,Humburg P,Johnson D,Karpe F,Kingsbury Z,Kini U,Knight JC,Krohn J,Lamble S,Langman C,Lonie L,Luck J,McCarthy D,McGowan SJ,McMullin MF,Miller KA,Murray L,Németh AH,Nesbit MA,Nutt D,Ormondroyd E,Oturai AB,Pagnamenta A,Patel SY,Percy M,Petousi N,Piazza P,Piret SE,Polanco-Echeverry G,Popitsch N,Powrie F,Pugh C,Quek L,Robbins PA,Robson K,Russo A,Sahgal N,van Schouwenburg PA,Schuh A,Silverman E,Simmons A,Sørensen PS,Sweeney E,Taylor J,Thakker RV,Tomlinson I,Trebes A,Twigg SR,Uhlig HH,Vyas P,Vyse T,Wall SA,Watkins H,Whyte MP,Witty L,Wright B,Yau C,Buck D,Humphray S,Ratcliffe PJ,Bell JI,Wilkie AO,Bentley D,Donnelly P,McVean G","Humans,Genetic Diseases,Inborn,Molecular Diagnostic Techniques,Sensitivity and Specificity,DNA Mutational Analysis,Base Sequence,Polymorphism,Single Nucleotide,Genome,Human,Molecular Sequence Annotation,High-Throughput Nucleotide Sequencing"
immd0031,immd0282,1,0.05,Journal article,Cancer Cell,17/07/2013,A core human primary tumor angiogenesis signature identifies the endothelial orphan receptor ELTD1 as a key regulator of angiogenesis.,"Masiero M,Simões FC,Han HD,Snell C,Peterkin T,Bridges E,Mangala LS,Wu SY,Pradeep S,Li D,Han C,Dalton H,Lopez-Berestein G,Tuynman JB,Mortensen N,Li JL,Patient R,Sood AK,Banham AH,Harris AL,Buffa FM","Animals,Cell Growth Processes,Endothelial Cells,Female,Genetic Predisposition to Disease,HCT116 Cells,Humans,Mice,Nude,Neoplasms,Neovascularization,Pathologic,Receptors,G-Protein-Coupled,Signal Transduction"
clme0220,clme0670,5,1.3106893106893105,Journal article|Journal article|Journal article|Journal article|Journal article,Journal of National Cancer Institute|Journal of National Cancer Institute|Journal of the National Cancer Institute|Molecular Cell|Proceedings of the National Academy of Sciences of USA,01/01/2012|18/10/2011|01/03/2012|01/01/2011|20/07/2015,Response: Re: Delta-like ligand 4-notch blockade and tumor radiation response|Delta-like ligand 4-notch blockade and tumor radiation response.|Re: Delta-Like Ligand 4-Notch Blockade and Tumor Radiation Response Response|MiR-182-Mediated Downregulation of BRCA1 Impacts DNA Repair and Sensitivity to PARP Inhibitors|The pH low insertion peptide pHLIP Variant 3 as a novel marker of acidic malignant lesions.,"Liu SK,Muschel RJ,Harris AL|Liu SK,Bham SA,Fokas E,Beech J,Im J,Cho S,Harris AL,Muschel RJ|Liu SK,Muschel RJ,Harris AL|Moskwa P,Buffa FM,Pan Y,Panchakshari R,Gottipati P,Muschel RJ,Beech J,Kulshrestha R,Abdelmohsen K,Weinstock DM,Gorospe M,Harris AL,Helleday T,Chowdhury D|Tapmeier TT,Moshnikova A,Beech J,Allen D,Kinchesh P,Smart S,Harris A,McIntyre A,Engelman DM,Andreev OA,Reshetnyak YK,Muschel RJ","|Adenocarcinoma,Amyloid Precursor Protein Secretases,Animals,Antibodies,Monoclonal,Antineoplastic Agents,Blood Flow Velocity,Carcinoma,Squamous Cell,Cell Line,Tumor,Colorectal Neoplasms,Combined Modality Therapy,Dibenzazepines,Humans,Hypopharyngeal Neoplasms,Immunoblotting,Immunohistochemistry,Intercellular Signaling Peptides and Proteins,Luminescent Measurements,Mice,Nude,Necrosis,Neoplasms,Neovascularization,Pathologic,Radiation,Ionizing,Receptors,Notch,Signal Transduction,Transplantation,Heterologous,Ultrasonography,Doppler|||Cell Line,Tumor,Spheroids,Cellular,Animals,Mice,Inbred BALB C,Humans,Neoplasms,Neoplasm Invasiveness,Disease Models,Animal,Acids,Membrane Proteins,Magnetic Resonance Spectroscopy,Sensitivity and Specificity,ROC Curve,Amino Acid Sequence,Hydrogen-Ion Concentration,Molecular Sequence Data,Mutant Proteins,Biomarkers"
